CODE_UIC;DESCRIPTION;LOCALITY_UIC
83042036;NOVI LIGURE;
83042069;SERRAVALLE SCRIVIA;
83042077;ARQUATA SCRIVIA;
83042200;GENOVA SAMPIERDARENA;
87409482;VIEILLE-BRIOUDE;43073426
87409490;URCAY HOTEL DU LYON D'OR;
87409466;PONT-DE-DORE LE CHAMBON;
87409474;PAULHAGUET MONUMENT;43040947
87409516;THIERS LE MOUTIER;63073447
87409524;SAINTE-FLORINE PLACE FRANCOIS;43040952
87409508;THIERS MAIRIE;63073447
87159947;KER LANN;
87399667;ANDORRE-LA-VIEILLE;
87409557;SAINT-YORRE CROIX DES VERNES;03073230
87409532;SAINTE-EUGENIE-DE-VILLENEUVE;
87409540;SAINT-YORRE NOUVEL HOTEL;03073230
87409417;PONTMORT RN9-D17;63073410
87409441;PONT-DU-CHATEAU CARREFOUR;63073408
87409425;PONTGIBAUD - PLACE REPUBLIQUE;63064131
87409433;PONT-DU-CHATEAU - CROIX BLANCHE;63073408
87984963;AVENUE DE GAUMONT;
87984906;VILLIERS-SUR-MARNE - GEORGES DEMESY;
88823393;LEVAL;
88333080;TIENEN;
88823625;BINCHE;
85093575;ALP GRUM;
87984369;CORBEIL-ESSONNES - AMBROISE CROIZAT;
85093666;BRUSIO;
85093682;CAMPOCOLOGNO;
85093617;POSCHIAVO;
85093641;LE PRESE;
87984104;VIRY-CHATILLON - BLAZY;
87744433;CHATEAU DE CHEVERNY;
54363952;TISNOV;
87744441;CHATEAU DE BEAUREGARD;
87984161;RIS-ORANGIS - JEAN JAURES;
94481655;GOUVEIA;
20038208;SANKT PETERBURG FINLIANDSKII;
87984666;PARC DU TREMBLAY;
87984591;VERNEUIL - FAISANDERIE;
88969253;INGELMUNSTER;
87984427;BOUSSY-SAINT-ANTOINE LE STADE;
87744979;LISSAY-LOCHY EGLISE;
87984443;PORTE MAILLOT - RER C;
87744938;PARIS-GALLIENI;
87744946;LA VACHERIE;
87744920;BLOIS GARE ROUTIERE;41574000
88969090;IZEGEM;
87744995;BOURGES JURANVILLE;
87744904;TOURS PLACE DU GENERAL LECLERC;
74027227;MORA;
87504530;BOURG-SAINT-ANDEOL - HOTEL DE VILLE;
87504548;CRUAS;
87504563;VIVIERS LA POSTE;
87744243;ORLEANS AVENUE DE PARIS;45054300
87744235;CHATENOIS COLLEGE;
87744359;PROVINS MAIRIE;
87744367;BOULEVARD ROY;
87744078;SAINT-GERVAIS-LES-BAINS;57746470
87744011;COLOMBEY-LES-BELLES MAIRIE;
80152785;GREVENBROICH;
87744177;ANCENIS BIS;44048119
87744128;MARSEILLE GARE ROUTIERE;
70154005;LONDON ST PANCRAS;70970011
74027748;MURJEK;
74027664;MUNKEDAL;
70154401;EBBSFLEET - INTERNATIONAL;
74027516;MOTALA C;
88332585;LANGDORP;
88822064;LA LOUVIERE - SUD;
56130161;KUTY;
56130138;MARTIN;
56130112; UBOCHNA;
88332098;AARSCHOT;
87745851;FERME NEUVE;
87985531;TORCY - COLLEGE JEAN MONNET;
87745836;ANGLEFORT;
87745844;AMEDEE GORDINI;
80151654;MONCHENGLADBACH HBF;
87745828;SEYSSEL - CORBONOD;
80151720;RHEYDT HBF;
87745984;BOIS DE SAINT-EUTROPE;
80151837;ERKELENZ;
85092551;PONTRESINA;
85092569;LA PUNT-CHAMUES-CH;
87745646;THONON-LES-BAINS;
80151852;HUCKELHOVEN-BAAL;
87745612;LULLY;
85092585;ZUOZ;
87745620;PERRIGNIER;
80151878;LINDERN;
85092510;SAMEDAN;
80151886;GEILENKIRCHEN;
85092528;CELERINA/SCHLARIGNA;
80151894;UBACH-PALENBERG;
85092536;ST. MORITZ;
87745679;EVIAN-LES-BAINS;
87745653;VONGY;
87745661;AMPHION LES BAINS;
56130831;TURCIANSKE TEPLICE;
85092684;SCUOL-TARASP;
87745729;SAINT-GERMAIN-DE-JOUX CENTRE;
87745737;LE POIZAT-LALLEYRIAT D 1084;
85092627;ZERNEZ;
87745703;MARGUERITTES;
80151993;AACHEN WEST;80980101
87745711;CHATILLON-EN-MICHAILLE CENTRE;
87985275;NOISIEL LE LUZARD RER;
87745786;PARC DU CHATEAU;
87745794;COTEAUX DE L'ORGE;
56130963;ZOHOR;
80151902;HERZOGENRATH;
54758755;KARLOVY VARY;
88332668;TESTELT;
56130419;RUZOMBEROK;
88968000;ROESELARE;
87985614;LOGNES - COLLEGE DU SEGRAIS;
88332742;ZICHEM;
87745059;ROQUEMAURE;
87745000;BELLEGARDE-SUR-VALSERINE GARE;01074500
87745166;PERON RD984;
87745174;SAINT-JEAN-DE-GONVILLE RD984;
87745141;FARGES EGLISE;
87745158;GRENY;
87745125;AIRANS;
87745091;EPINAY-SUR-ORGE T12;
74028522;NATTAVAARA;
54362251;STUDENEC;
54758409;KOSTELEC U JIHLAVY;
80297531;KONIGSHOFEN (BADEN);
80297549;LAUDA;
80151118;RHEINHAUSEN;
71722025;L'ARBOC;
74028324;MORRUM;
80297432;OSTERBURKEN;
54758557;OSTROV NAD OHRI;
87745414;VALLEIRY;
80151225;VIERSEN;
87745497;ANNEMASSE;
87745455;LE BAS DE COLLONGES;
87745430;SAINT-JULIEN-EN-GENEVOIS;
74028233;MOLNLYCKE;
80297796;VAIHINGEN (ENZ);
87495747;LES TILLEULS - NOCTILIEN;
87495721;ARISTIDE BRIAND - NOCTILIEN;
80151308;KALDENKIRCHEN;
87495739;GASTON VIENS;
87495713;AEROGARE ORLY OUEST - NOCTILIEN;
87745588;MACHILLY;
87985085;NOISY-LE-GRAND CHAMPS - RER DESCARTES;
87745596;BONS-EN-CHABLAIS;
87495770;FRANCHE-COMTE - NOCTILIEN;
87745273;GEX CENTRE;
87505909;LAGUEPIE - EGLISE;
80151498;NEUSS HBF;
87745257;CESSY;
87745265;ECHENEVEX RD984;
87745232;FLIES;
87745240;CHEVRY MAIRIE;
87505941;CORDES;
87745224;SERGY CENTRE;
87745182;FENIERES;
54758029;HORNI CEREKEV;
87745380;POUGNY - CHANCY;
87745349;DIVONNE-LES-BAINS ANCIENNE GARE;
87745323;GRILLY MAIRIE;
87745331;ARBERE;
70155507;LONDON ST PANCRAS;70970011
80297093;SONTHEIM BRENZ;
80297101;NIEDERSTOTZINGEN;
80297127;LANGENAU (WURTT);
80297028;HEIDENHEIM;
80297069;GIENGEN (BRENZ);
51082404;MUSZYNA;
51082487;KRYNICA-ZDROJ;
51082669;RZESZOW G OWNY;
74024802;LULEA C;
74024851;LUND C;
74024729;LUDVIKA;
87644237;REIGNAC JONQUILLES;
87644245;SAINT GENOU BRISEPAILLE;
87644252;SAINT-GENOU ECOLE;
87644260;SAINT-GENOU ZI;
87644286;SAINT-JEAN-SAINT-GERMAIN HOTEL;
87644203;LOCHES AGNES SOREL;
87644211;NIHERNE CENTRE;
87644229;REIGNAC L'IMAGE;
87644344;VILLEDIEU EGLISE;
87644351;VILLEDIEU GOLF;
87644369;VILLEDIEU CENTRE;
87644310;TRUYES PLACE DU SOUVENIR;
87644328;TRUYES SAINT-BLAISE;
87394874;GALLARDON PONT;
87644013;SAINT-PELLERIN MAIRIE;
87644039;AZAY-SUR-INDRE LES 2 RIVIERES;
87644047;BRIDORE SAINT MARTIN;
87644054;BUZANCAIS CROISSANT;
87644062;BUZANCAIS SAPIN VERT;
87644070;CHAMBRAY TROUSSEAU;
87644088;CHATEAU-RENAULT ZI;
87644005;MONDOUBLEAU RUE LEROY;
87644096;CHATILLON PLACE DU MAIL;
